Título,Texto,Upvotes,Comentarios,Sentimiento,Puntaje Sentimiento
Por qué a muchos hombres no les interesa el nivel económico ni de estudios de sus parejas¿?,"Siempre he leído en Internet a muchos hombres comentar que no tendrían problemas con andar con la cajera del McDonalds y es respetable, cada quién sus gustos, pero no deja de ser interesante el hecho de que muchos simplemente no les prestan atención a su nivel económico o de estudios. Caso contrario con las mujeres, pues un gran porcentaje si toma en cuenta esto al momento de elegir a sus parejas, sobretodo si es para una relación seria y duradera. 

Tampoco quiero decir que no haya hombres que se fijen en lo anterior, como siempre,  habrá excepciones. 

No obstante, me gustaría leer sus opiniones al respecto.",245,355,Negativo,-0.8807
Hola @cfkargentina. Acabo de anular los aumentos de sueldo de todo el gabinete nacional. Ya que la vi tan preocupada por las jubilaciones ¿qué le parece si le anulo los $ 14.000.000 que cobra usted de jubilación de privilegio y le asigno una jubilación mínima? Estimo no va a quejarse. Saludos.,,843,305,Negativo,-0.296
Se diluye el poder de los piqueteros sin el manejo de los planes y arrinconados por denuncias: ya van 4 meses sin cortes de calles,,802,186,Negativo,-0.802
Terminaron los allanamientos: En una de la casa de los referentes se encontraron 50 millones de pesos divididos en Dólares y Euros. Se calcula que el robo por mes fue de 700 millones de pesos,,1028,198,Neutral,0.0
Cual es la razón de porque Colombia tiene tantisimos peajes por todo el pais?,,581,135,Neutral,0.0
"""Es que nadie mira tele"" JAJAJAAJA acéptenlo muchachos, dejen de consumir encuestas falopa y admitan que la imagen de Milei está por el subsuelo",,233,247,Neutral,0.0
Habrá acción legal en contra de las agresiones sufridas por los estudiantes en el incidente de Olona?,,184,264,Positivo,0.128
"Hoy hace CINCO (5) años arrancaba la cuarentena en el país, ¿Qué recuerdos tenés de aquel entonces?",,295,186,Neutral,0.0
"Al fin alguien lo dice, hay que cortar con el humo de una vez por todas",,668,120,Neutral,0.0
Se negó a pagar el peaje por el mal estado de la Ruta Nacional 14,,618,217,Neutral,0.0
